Cód. Grundfos;Cód. Prov.;Modelo;Descripción;Proveedor;Frecuencia;TP;Moneda TP;GRP;Moneda GRP;PL;Moneda PL;Familia;Tipo de Producto;Línea
122529;;"Eje para motor de 6"" de 29 etapas (SP 17)";;Grundfos DK;;;;;;215;U$S;REPUESTOS;;
122530;;"Eje para motor de 6"" de 30 etapas (SP 17)";;Grundfos DK;;;;;;218,75;U$S;REPUESTOS;;
122531;;"Eje para motor de 6"" de 31 etapas (SP 17)";;Grundfos DK;;;;;;223,75;U$S;REPUESTOS;;
122532;;"Eje para motor de 6"" de 32 etapas (SP 17)";;Grundfos DK;;;;;;228,75;U$S;REPUESTOS;;
122533;;"Eje para motor de 6"" de 33 etapas (SP 17)";;Grundfos DK;;;;;;232,5;U$S;REPUESTOS;;
125100;;Cámara (SP 17);;Grundfos DK;;;;;;98,75;U$S;REPUESTOS;;
125101;;Cámara superior de 1-24 etapas (SP 17);;Grundfos DK;;;;;;160;U$S;REPUESTOS;;
125108;;Impulsor (SP 17);;Grundfos DK;;;;;;43,75;U$S;REPUESTOS;;
125117;;Cámara superior de 43-48) etapas (SP 17);;Grundfos DK;;;;;;152,5;U$S;REPUESTOS;;
126734;;"Eje para motor de 6"" de 34 etapas (SP 17)";;Grundfos DK;;;;;;336,25;U$S;REPUESTOS;;
126735;;"Eje para motor de 6"" de 35 etapas (SP 17)";;Grundfos DK;;;;;;340;U$S;REPUESTOS;;
126736;;"Eje para motor de 6"" de 36 etapas (SP 17)";;Grundfos DK;;;;;;345;U$S;REPUESTOS;;
126737;;"Eje para motor de 6"" de 37 etapas (SP 17)";;Grundfos DK;;;;;;350;U$S;REPUESTOS;;
126738;;"Eje para motor de 6"" de 38 etapas (SP 17)";;Grundfos DK;;;;;;355;U$S;REPUESTOS;;
126739;;"Eje para motor de 6"" de 39 etapas (SP 17)";;Grundfos DK;;;;;;360;U$S;REPUESTOS;;
126740;;"Eje para motor de 6"" de 40 etapas (SP 17)";;Grundfos DK;;;;;;365;U$S;REPUESTOS;;
127005;;"Eje para motor de 4"" de 5 etapas (SP 17)";;Grundfos DK;;;;;;85;U$S;REPUESTOS;;
127006;;"Eje para motor de 4"" de 6 etapas (SP 17)";;Grundfos DK;;;;;;90;U$S;REPUESTOS;;
127007;;"Eje para motor de 4"" de 7 etapas (SP 17)";;Grundfos DK;;;;;;96,25;U$S;REPUESTOS;;
127008;;"Eje para motor de 4"" de 8 etapas (SP 17)";;Grundfos DK;;;;;;101,25;U$S;REPUESTOS;;
127009;;"Eje para motor de 4"" de 9 etapas (SP 17)";;Grundfos DK;;;;;;106,25;U$S;REPUESTOS;;
127010;;"Eje para motor de 4"" de 10 etapas (SP 17)";;Grundfos DK;;;;;;111,25;U$S;REPUESTOS;;
127011;;"Eje para motor de 4"" de 11 etapas (SP 17)";;Grundfos DK;;;;;;117,5;U$S;REPUESTOS;;
QA127012;;"Eje para motor de 4"" de 12 etapas (SP 17)";;Grundfos DK;;;;;;123,75;;REPUESTOS;;
127013;;"Eje para motor de 4"" de 13 etapas (SP 17)";;Grundfos DK;;;;;;127,5;U$S;REPUESTOS;;
127043;;"Eje para motor de 6"" de 43 etapas (SP 17)";;Grundfos DK;;;;;;388,75;U$S;REPUESTOS;;
127045;;"Eje para motor de 6"" de 45 etapas (SP 17)";;Grundfos DK;;;;;;398,75;U$S;REPUESTOS;;
127048;;"Eje para motor de 6"" de 48 etapas (SP 17)";;Grundfos DK;;;;;;412,5;U$S;REPUESTOS;;
130022;;Clapeta de válvula (SP 46, 60);;Grundfos DK;;;;;;6,25;U$S;REPUESTOS;;
135001;;"Interconector de aspiración para motor de 4"" (SP 30, 46, 60)";;Grundfos DK;;;;;;150;U$S;REPUESTOS;;
135007;;"Alojamiento de válvula Rp de 3"" (SP 46, 60)";;Grundfos DK;;;;;;161,25;U$S;REPUESTOS;;
135014;;"Interconector de aspiración DOL motor de 6"" (SP 30, 46, 60)";;Grundfos DK;;;;;;205;U$S;REPUESTOS;;
135016;;"Interconector de aspiración Y/D motor de 6"" (SP 30, 46, 60)";;Grundfos DK;;;;;;286,25;U$S;REPUESTOS;;
135029;;"Filtro para motor de 4"" (SP 30)";;Grundfos DK;;;;;;35;U$S;REPUESTOS;;
135030;;"Filtro para motor de 6""/8"" (SP 30)";;Grundfos DK;;;;;;22,5;U$S;REPUESTOS;;
135101;;Cámara (SP 30);;Grundfos DK;;;;;;121,25;U$S;REPUESTOS;;
135102;;Cámara superior de 2-20 etapas (SP 30);;Grundfos DK;;;;;;160;U$S;REPUESTOS;;
135109;;Impulsor (SP 30);;Grundfos DK;;;;;;76,25;U$S;REPUESTOS;;
135115;;Cámara superior de 39-49 etapas (SP 30);;Grundfos DK;;;;;;155;U$S;REPUESTOS;;
135631;;"Filtro para motor de 6"" (SP 46, 60) *";;;;;;;;47,5;;;;
140328;;Cono (SP 30, 46, 60);;Grundfos DK;;;;;;5;U$S;REPUESTOS;;
